Ano,Posicao,Numero,Equipe,Estado,Seguranca,Projeto,Dinamicas,Enduro,Total
2011,1,2,FEI,SP,19.5,237.28,197.09,400,853.86
2011,2,1,FEI,SP,3,250.61,178.17,372.88,804.66
2011,3,39,POLI,SP,11.5,251.58,173.56,366.1,802.74
2011,4,3,POLI,SP,18,229.6,131.29,400,778.89
2011,5,10,MANGUE,PE,18.5,193.75,173.83,372.88,758.96
2011,6,8,CEFAST BAJA,MG,1.75,189.42,187.96,379.66,758.78
2011,7,12,UFSC,SC,-4.75,184.75,180.09,379.66,739.75
2011,8,54,BAJA UFMG,MG,17.75,252.9,107.13,318.64,696.42
2011,9,11,VIBORA,RJ,13,187.75,111.34,379.66,691.75
2011,10,7,EESC USP,SP,17.25,251.95,100.23,291.53,660.95
2011,11,24,CISER IST BAJA SAE,SC,16.25,150,118.33,332.2,616.77
2011,12,15,UFPBAJA,PB,16.5,186.75,108.38,305.08,616.72
2011,13,16,PIRATAS DO VALE,SP,17.25,142.88,92.81,359.32,612.25
2011,14,6,EESC USP,SP,18,200.5,0,379.66,598.16
2011,15,22,KOMIKETO BAJA,MG,14.75,190.13,125.13,244.07,574.07
2011,16,5,MAUA,SP,17,159.63,142.06,230.51,549.19
2011,17,13,UFSC,SC,16.25,190.5,0,298.31,505.06
2011,18,48,PAC BAJA,SP,13.5,114.25,70.61,291.53,489.88
2011,19,20,CORISCO,PE,13,134.88,109.88,230.51,488.26
2011,20,26,CAR-KARA,RN,15.5,162.8,147.59,149.15,475.02
2011,21,38,TEC-ILHA,SP,-1.25,110.88,117.1,196.61,423.33
2011,22,46,FATECNOLOGOS,SP,8.25,120.88,122.91,162.71,414.76
2011,23,28,UDESC VELOCIRAPTOR,SC,13.25,110.5,158.44,128.81,411.01
2011,24,30,PIRATAS DO CERRADO,DF,0,175.88,0,230.51,406.38
2011,25,23,MAS BAJA TCHE,RS,14.5,122.63,132.23,128.81,398.17
2011,26,9,MANGUE,PE,14.25,194.88,147.9,40.68,397.69
2011,27,25,TCHE,RS,16.75,101.46,0,264.41,382.62
2011,28,21,BOMBAJA,RS,19.25,94.13,84.42,176.27,374.06
2011,29,31,BAAJATINGA,PE,-7.5,83.5,0,291.53,367.53
2011,30,35,MINERVA BAJA,RJ,-19.5,116.46,132.73,122.03,351.72
2011,31,47,MUD RUNNER,RJ,16,107.88,89.75,135.59,349.22
2011,32,59,FAC - QUADRILHA B.,SP,12.65,57.25,71.07,189.83,330.81
